# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalContentionQuotaSpent,1747808593069000000,1747808656086000000,0
IndexesFlusher.totalFlushesRetried,1747808593069000000,1747808656086000000,0
IndexesFlusher.totalFlushes,1747808593069000000,1747808656086000000,54
IndexesFlusher.totalFlushingTimeUs,1747808593069000000,1747808656086000000,36021542
workspaceModel.updates.precise.ms,1747808593069000000,1747808656086000000,0
workspaceModel.pre.handlers.ms,1747808593069000000,1747808656086000000,0
workspaceModel.updates.count,1747808593069000000,1747808656086000000,1
workspaceModel.loading.from.cache.ms,1747808593069000000,1747808656086000000,1254
workspaceModel.check.recursive.update.ms,1747808593069000000,1747808656086000000,1
workspaceModel.replace.project.model.ms,1747808593069000000,1747808656086000000,0
workspaceModel.collect.changes.ms,1747808593069000000,1747808656086000000,0
workspaceModel.loading.total.ms,1747808593069000000,1747808656086000000,1575
workspaceModel.init.bridges.ms,1747808593069000000,1747808656086000000,125
workspaceModel.update.unloaded.entities.ms,1747808593069000000,1747808656086000000,0
workspaceModel.to.snapshot.ms,1747808593069000000,1747808656086000000,0
workspaceModel.updates.ms,1747808593069000000,1747808656086000000,1762
workspaceModel.initializing.ms,1747808593069000000,1747808656086000000,125
FileNameCache.queries,1747808593069000000,1747808656086000000,13775
FileNameCache.totalMisses,1747808593069000000,1747808656086000000,27
workspaceModel.moduleManagerBridge.newModule.ms,1747808593069000000,1747808656086000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1747808593069000000,1747808656086000000,0
jps.library.entities.serializer.save.entities.ms,1747808593069000000,1747808656086000000,0
jps.global.initialize.library.bridges.ms,1747808593069000000,1747808656086000000,0
jps.apply.loaded.storage.ms,1747808593069000000,1747808656086000000,1995
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747808593069000000,1747808656086000000,0
jps.artifact.entities.serializer.load.entities.ms,1747808593069000000,1747808656086000000,0
workspaceModel.orphan.listener.update.ms,1747808593069000000,1747808656086000000,3
jps.app.storage.content.reader.load.component.ms,1747808593069000000,1747808656086000000,1
jps.artifact.entities.serializer.save.entities.ms,1747808593069000000,1747808656086000000,0
jps.reload.project.entities.ms,1747808593069000000,1747808656086000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747808593069000000,1747808656086000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747808593069000000,1747808656086000000,0
workspaceModel.sync.entities.ms,1747808593069000000,1747808656086000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747808593069000000,1747808656086000000,440
workspaceModel.moduleBridgeLoader.loading.modules.ms,1747808593069000000,1747808656086000000,8396
jps.library.entities.serializer.load.entities.ms,1747808593069000000,1747808656086000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747808593069000000,1747808656086000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1747808593069000000,1747808656086000000,117
workspaceModel.moduleManagerBridge.load.module.ms,1747808593069000000,1747808656086000000,0
jps.project.serializers.load.ms,1747808593069000000,1747808656086000000,391
jps.storage.jps.conf.reader.load.component.ms,1747808593069000000,1747808656086000000,14
jps.load.initial.state.ms,1747808593069000000,1747808656086000000,685
